Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
9,RG,James,Daniels,James Daniels,PIT,16,8,9,1091,False,16,28,0,1,James,Daniels,632.0,630.0,6.0,26.0,28.0,Signed,Star,82.0,0.0,0.0,PIT,tier_3,8.249312557286892,PIT,-8
73,LG,Jonah,Jackson,Jonah Jackson,LAR,11,0,2,753,False,11,23,0,1,Jonah,Jackson,1402.0,1400.0,4.0,27.0,23.0,Signed,Star,73.0,0.0,0.0,LAR,tier_5,2.6560424966799467,LAR,3
96,C,Bradley,Bozeman,Bradley Bozeman,CAR,10,0,8,639,False,10,20,0,1,Bradley,Bozeman,286.0,284.0,6.0,29.0,20.0,Signed,Normal,67.0,0.0,0.0,CAR,tier_6,12.519561815336463,CAR,-5
129,LT,Laremy,Tunsil,Laremy Tunsil,HOU,12,2,9,798,False,12,31,0,1,Laremy,Tunsil,2858.0,2856.0,8.0,30.0,31.0,Signed,Star,92.0,0.0,0.0,HOU,tier_1,11.278195488721805,HOU,-3
146,RG,Shaq,Mason,Shaq Mason,HOU,16,5,3,1148,False,16,31,0,1,Shaq,Mason,1815.0,1813.0,9.0,31.0,31.0,Signed,Star,83.0,0.0,0.0,HOU,tier_3,2.613240418118467,HOU,-4
149,RG,Dalton,Risner,Dalton Risner,DEN,6,0,1,400,False,13,3,0,1,Dalton,Risner,2373.0,2371.0,5.0,29.0,3.0,Signed,Star,71.0,0.0,0.0,DEN,tier_5,2.5,DEN,-3
155,C,Dylan,McMahon,Dylan McMahon,DEN,16,1,8,1063,False,16,3,0,1,Dylan,McMahon,3284.0,3282.0,0.0,22.0,3.0,Signed,Normal,71.0,0.0,0.0,DEN,tier_5,7.525870178739417,DEN,-3
311,LG,Ben,Powers,Ben Powers,DEN,12,1,5,803,False,12,3,0,1,Ben,Powers,2269.0,2267.0,5.0,27.0,3.0,Signed,Normal,79.0,0.0,0.0,DEN,tier_4,6.226650062266501,DEN,-7
312,RT,Mike,McGlinchey,Mike McGlinchey,DEN,13,1,5,869,False,13,3,0,1,Mike,McGlinchey,1875.0,1873.0,6.0,29.0,3.0,Signed,Star,75.0,0.0,0.0,DEN,tier_4,5.753739930955121,DEN,5
340,LT,Garett,Bolles,Garett Bolles,DEN,14,1,7,945,False,14,3,0,1,Garett,Bolles,253.0,251.0,7.0,32.0,3.0,Signed,Star,83.0,0.0,0.0,DEN,tier_3,7.407407407407407,DEN,1
342,RT,Mekhi,Becton Sr,Mekhi Becton Sr,TB,16,3,8,1084,False,16,5,0,1,Mekhi,Becton Sr,186.0,184.0,4.0,25.0,5.0,Signed,Star,73.0,0.0,0.0,TB,tier_5,7.380073800738007,TB,3
344,RG,Cody,Mauch,Cody Mauch,TB,16,1,2,1084,False,16,5,0,1,Cody,Mauch,1829.0,1827.0,1.0,25.0,5.0,Signed,Normal,71.0,0.0,0.0,TB,tier_5,1.8450184501845017,TB,0
346,LT,Tristan,Wirfs,Tristan Wirfs,TB,16,0,11,1098,False,16,5,0,1,Tristan,Wirfs,3114.0,3112.0,4.0,25.0,5.0,Signed,Superstar,97.0,0.0,0.0,TB,tier_0,10.018214936247723,TB,-4
347,C,Ryan,Jensen,Ryan Jensen,TB,15,4,2,1018,False,15,5,0,1,Ryan,Jensen,1446.0,1444.0,11.0,33.0,5.0,Signed,Superstar,85.0,0.0,0.0,TB,tier_2,1.9646365422396854,TB,2
350,LG,Matthew,Bergeron,Matthew Bergeron,ATL,16,0,5,1099,False,16,13,0,1,Matthew,Bergeron,210.0,208.0,1.0,24.0,13.0,Signed,Normal,73.0,0.0,0.0,ATL,tier_5,4.549590536851683,ATL,0
351,C,Drew,Dalman,Drew Dalman,ATL,16,0,4,1101,False,16,13,0,1,Drew,Dalman,624.0,622.0,3.0,25.0,13.0,Signed,Star,77.0,0.0,0.0,ATL,tier_4,3.6330608537693005,ATL,2
352,RG,Chris,Lindstrom,Chris Lindstrom,ATL,14,0,3,1027,False,14,13,0,1,Chris,Lindstrom,1732.0,1730.0,5.0,27.0,13.0,Signed,Superstar,92.0,0.0,0.0,ATL,tier_1,2.9211295034079843,ATL,-5
354,RT,Jawaan,Taylor,Jawaan Taylor,KC,16,2,7,1152,False,16,8,0,1,Jawaan,Taylor,2744.0,2742.0,5.0,26.0,8.0,Signed,Star,71.0,0.0,0.0,KC,tier_5,6.076388888888889,KC,3
355,LG,Joe,Thuney,Joe Thuney,KC,16,2,3,1210,False,16,8,0,1,Joe,Thuney,2807.0,2805.0,8.0,31.0,8.0,Signed,Star,91.0,0.0,0.0,KC,tier_1,2.479338842975207,KC,-1
356,RT,La'el,Collins,La'el Collins,NE,16,0,15,998,False,16,21,0,1,La'el,Collins,549.0,547.0,9.0,31.0,21.0,Signed,Star,76.0,0.0,0.0,NE,tier_4,15.03006012024048,NE,-7
359,LG,Cole,Strange,Cole Strange,NE,16,0,5,998,False,16,21,0,1,Cole,Strange,2693.0,2691.0,2.0,26.0,21.0,Signed,Star,77.0,0.0,0.0,NE,tier_4,5.01002004008016,NE,-3
362,RT,Trey,Pipkins III,Trey Pipkins III,LAC,7,2,2,534,False,12,7,0,1,Trey,Pipkins III,2252.0,2250.0,5.0,27.0,7.0,Signed,Normal,65.0,0.0,0.0,LAC,tier_6,3.745318352059925,LAC,12
363,C,Corey,Linsley,Corey Linsley,LAC,16,7,3,1194,False,16,7,0,1,Corey,Linsley,1733.0,1731.0,10.0,33.0,7.0,Signed,Star,84.0,0.0,0.0,LAC,tier_3,2.512562814070352,LAC,1
369,LG,Tytus,Howard,Tytus Howard,HOU,14,1,1,953,False,14,31,0,1,Tytus,Howard,1316.0,1314.0,5.0,28.0,31.0,Signed,Normal,72.0,0.0,0.0,HOU,tier_5,1.0493179433368311,HOU,6
373,LG,Anthony,Bradford,Anthony Bradford,SEA,16,0,4,1098,False,16,27,0,1,Anthony,Bradford,290.0,288.0,1.0,23.0,27.0,Signed,Normal,70.0,0.0,0.0,SEA,tier_5,3.6429872495446265,SEA,3
374,C,Olusegun,Oluwatimi,Olusegun Oluwatimi,SEA,16,0,14,1033,False,16,27,0,1,Olusegun,Oluwatimi,2131.0,2129.0,1.0,25.0,27.0,Signed,Normal,69.0,0.0,0.0,SEA,tier_6,13.552758954501451,SEA,-5
375,LT,Charles,Cross,Charles Cross,SEA,15,0,8,1012,False,15,27,0,1,Charles,Cross,608.0,606.0,2.0,23.0,27.0,Signed,Star,77.0,0.0,0.0,SEA,tier_4,7.905138339920948,SEA,2
376,RT,Abraham,Lucas,Abraham Lucas,SEA,16,0,14,1097,False,16,27,0,1,Abraham,Lucas,1764.0,1762.0,2.0,25.0,27.0,Signed,Star,78.0,0.0,0.0,SEA,tier_4,12.76207839562443,SEA,-3
377,RG,Jared,Hocker,Jared Hocker,NO,8,0,1,579,False,14,26,0,1,Jared,Hocker,1270.0,1268.0,3.0,26.0,26.0,Signed,Normal,60.0,0.0,0.0,NO,tier_6,1.7271157167530224,NO,1
380,C,Matt,Paradis,Matt Paradis,CAR,6,0,4,411,False,11,20,0,1,Matt,Paradis,2168.0,2166.0,10.0,34.0,20.0,Signed,Normal,69.0,0.0,0.0,CAR,tier_6,9.732360097323602,CAR,-5
381,LG,Cody,Whitehair,Cody Whitehair,PIT,13,2,5,860,False,13,28,0,1,Cody,Whitehair,3014.0,3012.0,8.0,32.0,28.0,Signed,Star,73.0,0.0,0.0,PIT,tier_5,5.813953488372093,PIT,-3
385,LT,Ikem,Ekwonu,Ikem Ekwonu,CAR,16,0,19,1078,False,16,20,0,1,Ikem,Ekwonu,802.0,800.0,2.0,23.0,20.0,Signed,Normal,71.0,0.0,0.0,CAR,tier_5,17.625231910946194,CAR,-6
386,LG,Brady,Christensen,Brady Christensen,CAR,11,0,0,742,False,13,20,0,1,Brady,Christensen,500.0,498.0,3.0,27.0,20.0,Signed,Normal,71.0,0.0,0.0,CAR,tier_5,0.0,CAR,11
